2012_Sandy_Hurricane,0,parti door polic host sandi pool front music dj big night hurrican tomorrow
off-topic,1,wasnt chill littl lol
2012_Sandy_Hurricane,2,launch crisi sever new weather map smartphon sandi track delay googl app hurrican
off-topic,3,pictur catch ya lip take freaki like
off-topic,4,never use man let everyth know
off-topic,5,game bruin anthem nation
off-topic,6,lol pointless thought ever thing
2012_Sandy_Hurricane,7,goodmorn hurrican twitterbird chu look morn damag text good say
2012_Sandy_Hurricane,8,episod new gossip im girl air lmao hurrican good
2012_Sandy_Hurricane,9,wonder go bit scare tad bad hurrican
2012_Sandy_Hurricane,10,worri sandi hurrican shamwow
off-topic,11,ahhh stay goe lockdown hour citi asleep
off-topic,12,trip time pussi birth probabl last
2012_Sandy_Hurricane,13,kany time hurrican finish let sandi best break katrina news west think say
off-topic,14,dont give realli honesthour fuck show
off-topic,15,straight hour eatn grape like
off-topic,16,stew white red rice cook done
off-topic,17,happi hope dream reciev jess everyth harri love youv wish birthday xx alway
off-topic,18,buy pricey peopl kinda lot okay gift mean thing friend alway
off-topic,19,lighten hous close hit shit bro bolt wtf safe fuck holi
off-topic,20,emotionalllll dark love understand fat noon
off-topic,21,bought street happen cloth shirt boston fresh vender
off-topic,22,omg bad
off-topic,23,get student aad studyingforthesat merl wow
2012_Sandy_Hurricane,24,pleas district near evacu local let sandi ahead tour concern know hurrican center
2012_Sandy_Hurricane,25,lol da nite hurrican need buddi
2012_Sandy_Hurricane,26,hurrican sandi pussi
off-topic,27,togeth apart better fall thing
2012_Sandy_Hurricane,28,style sandi hurrican gangnam came joke
off-topic,29,norman prove diehard swiveley word repeat tori loon
2012_Sandy_Hurricane,30,move nhc due land sandi north next holthau hour northwest eric toward updat turn
2012_Sandy_Hurricane,31,jersey everyon blow sandi head ra call snooki mile hurrican shore
2012_Sandy_Hurricane,32,keep hope island theyaintboutthislif news basic staten say
off-topic,33,give india chanc learn plu
2012_Sandy_Hurricane,34,hunker nyc bakeathon make hurrican mean
2012_Sandy_Hurricane,35,name hurrican sandi weak
2012_Sandy_Hurricane,36,creator name actual frankenstorm properli monster call hurrican
off-topic,37,get found utv brother better previous omg wish topfavoritesong satstudytim
2012_Sandy_Hurricane,38,pleas retweet rebuilt hurrican sandi everi commun help donat damag r
off-topic,39,chill darnecia dead p r c promis tweet tf e h amp direct toward
2012_Sandy_Hurricane,40,lairi hurrican bit look
off-topic,41,boo one three plu
2012_Sandy_Hurricane,42,electr idgaf hurrican let
2012_Sandy_Hurricane,43,ass woke sandi other pic least apocalyps hurrican wind
2012_Sandy_Hurricane,44,affect peopl sandi love ne hurrican pray
2012_Sandy_Hurricane,45,get go week mazel sandi girl tov pregnant hurrican
off-topic,46,canada war pull spa pack great bobbi orr sp auto team win
off-topic,47,kid believ age unbeliev
off-topic,48,bra im joke seriou
2012_Sandy_Hurricane,49,parti hous tonight sandi hurrican
2012_Sandy_Hurricane,50,cheer sandi hurrican
2012_Sandy_Hurricane,51,noonelikesy goaway sandi everyth ruin hurrican
2012_Sandy_Hurricane,52,bless god sandi deal love prayer coast east hurrican
2012_Sandy_Hurricane,53,shabbat flashlight local dark deli sold box candl quiet eerili last emerg manhattan score
off-topic,54,audio give listen ludacri absolut
off-topic,55,target dark
2012_Sandy_Hurricane,56,media approach sandi via help hurrican social
2012_Sandy_Hurricane,57,cat go instead kabosh drank frankenstorm dress nyc put suppos jeez like
off-topic,58,notif keep sleep offfffff keek turn
off-topic,59,son last stole vibrat think
